[2019-06-26 17:53:30.189] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.741 seconds (JVM running for 2.806)
[2019-06-26 18:00:59.964] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 7796 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 18:00:59.965] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 18:01:00.703] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 18:01:00.719] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 18:01:00.720] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 18:01:00.795] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 18:01:00.795] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 807 ms
[2019-06-26 18:01:01.260] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 18:01:01.461] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 18:01:01.463] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.772 seconds (JVM running for 2.886)
[2019-06-26 18:01:30.094] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 7908 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 18:01:30.094] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
